StateAbb,CCode,StateNme,ISO3_code
SUR,115,Suriname,SUR
SWA,748,Swaziland,SWZ
SWD,380,Sweden,SWE
SWZ,225,Switzerland,CHE
SYR,652,Syria,SYR
TAW,713,Taiwan,TWN
TAJ,702,Tajikistan,TJK
TAZ,510,Tanzania,TZA
THI,800,Thailand,THA
TOG,461,Togo,TGO
TON,955,Tonga,TON
TRI,52,Trinidad and Tobago,TTO
TUN,616,Tunisia,TUN
TUR,640,Turkey,TUR
TKM,701,Turkmenistan,TKM
TUS,337,Tuscany,#N/A
TUV,947,Tuvalu,TUV
SIC,329,Two Sicilies,#N/A
UGA,500,Uganda,UGA
UKR,369,Ukraine,UKR
UAE,696,United Arab Emirates,ARE
UKG,200,United Kingdom,GBR
USA,2,United States of America,USA
URU,165,Uruguay,URY
UZB,704,Uzbekistan,UZB
VAN,935,Vanuatu,VUT
VEN,101,Venezuela,VEN
DRV,816,Vietnam,VNM
WRT,271,Wuerttemburg,#N/A
YEM,679,Yemen,YEM
YUG,345,Yugoslavia,#N/A
ZAM,551,Zambia,ZMB
ZAN,511,Zanzibar,#N/A
ZIM,552,Zimbabwe,ZWE
SER,,Serbia,SRB
